/Users/mac/workspace/magic-tao/monster_scraper_v2.py:28: SyntaxWarning: invalid escape sequence '\s'
  const rankMatch = bodyText.match(/总档位[：:]\s*(\d+)/);
[183/364] 采集: 恶魔螃蟹 ✗
[184/364] 采集: 村雨丸 ✗
[185/364] 采集: 冰怪 ✗
[186/364] 采集: 斩首者 ✗
[187/364] 采集: 武装骷髅 ✗
[188/364] 采集: 巫师之鬼 ✗
[189/364] 采集: 亡灵 ✗
[190/364] 采集: 食尸鬼 ✗
[191/364] 采集: 卡特卡普 ✗
[192/364] 采集: iGame.Crossgate.Controllers.MonsterController.Detail() ✗
[193/364] 采集: 顽皮炸弹 ✗
[194/364] 采集: 试验型改造史莱姆·重生 ✗
[195/364] 采集: 试验型改造史莱姆·优化 ✗
[196/364] 采集: 试验型改造史莱姆·抗咒 ✗
[197/364] 采集: 圣诞精灵（怀旧） ✗
[198/364] 采集: 葡萄酒粉怪 ✗
[199/364] 采集: 牛奶粉怪 ✗
[200/364] 采集: 玫瑰粉怪 ✗

进度保存: 3 成功, 197 失败
[201/364] 采集: 马卡来粉怪 ✗
[202/364] 采集: 疾风迅雷之史莱姆 ✗
[203/364] 采集: 鬼灵 ✗
[204/364] 采集: 腐尸 ✗
[205/364] 采集: 德鲁伊之鬼 ✗
[206/364] 采集: 烟雾 ✗
[207/364] 采集: 牧羊神使（怀旧） ✗
[208/364] 采集: 金牛神使（怀旧） ✗
[209/364] 采集: iGame.Crossgate.Controllers.MonsterController.Detail() ✗
[210/364] 采集: 改造史莱姆 ✗
[211/364] 采集: 改造漂浮炸弹 ✗
[212/364] 采集: 改造火精 ✗
[213/364] 采集: 改造风精 ✓
[214/364] 采集: 改造地精 ✗
[215/364] 采集: 大炸弹 ✓
[216/364] 采集: 宝贝炸弹 ✗
[217/364] 采集: 布丁史莱姆 ✓
[218/364] 采集: 果冻史莱姆 ✗
[219/364] 采集: 液态史莱姆 ✓
[220/364] 采集: 史莱姆 ✓
[221/364] 采集: 魔法师之鬼 ✓
[222/364] 采集: 魔法黑猫（怀旧） ✓
[223/364] 采集: 九尾妖狐（怀旧） ✗
[224/364] 采集: 九尾妖狐（道具） ✗
[225/364] 采集: 九尾天狐（怀旧） ✗
[226/364] 采集: 九尾天狐（道具） ✗
[227/364] 采集: 九尾灵狐（怀旧·奖） ✗
[228/364] 采集: 九尾灵狐（怀旧） ✗
[229/364] 采集: iGame.Crossgate.Controllers.MonsterController.Detail() ✗
[230/364] 采集: 海底龟 ✗
[231/364] 采集: 地狱妖犬 ✓
[232/364] 采集: 穴熊 ✗
[233/364] 采集: 妖狐 ✓
[234/364] 采集: 恶魔猫 ✗
[235/364] 采集: 猫人 ✗
[236/364] 采集: 猫妖 ✓
[237/364] 采集: 北极熊 ✗
[238/364] 采集: 达亚斯公鸡 ✗
[239/364] 采集: 大公鸡 ✗
[240/364] 采集: 被特赦的火鸡 ✗
[241/364] 采集: 改造蜥蜴斗士 ✗
[242/364] 采集: 耀阳花（怀旧） ✗
[243/364] 采集: 幼生神龙（道具） ✗
[244/364] 采集: 幼生神龙（怀旧） ✓
[245/364] 采集: 鸟身巫女 ✓
[246/364] 采集: 亚特拉斯巨神 ✗
[247/364] 采集: 黄金龙 ✗
[248/364] 采集: 炎龙（魔） ✗
[249/364] 采集: 炎龙（攻） ✗
[250/364] 采集: 火焰巨龙（时道） ✗

进度保存: 15 成功, 235 失败
[251/364] 采集: 改造穴龙 ✗
[252/364] 采集: 幼龙？最低 ✗
[253/364] 采集: 黄金巨龙(道具) ✓
[254/364] 采集: 西留耶尔 ✗
[255/364] 采集: 维尔斯 ✗
[256/364] 采集: 修美亚雷 ✗
[257/364] 采集: 罗查 ✗
[258/364] 采集: 罗修 ✗
[259/364] 采集: 冰蜥蜴 ✗
[260/364] 采集: 毒蜥蜴 ✗
[261/364] 采集: 火蜥蜴 ✗
[262/364] 采集: 伪·村雨丸 ✗
[263/364] 采集: 改造纯白吓人箱 ✓
[264/364] 采集: 魔术机戊 ✗
[265/364] 采集: 改造影岩 ✗
[266/364] 采集: 达杰乌鲁姆 ✗
[267/364] 采集: 篮尾龙 ✗
[268/364] 采集: iGame.Crossgate.Controllers.MonsterController.Detail() ✗
[269/364] 采集: 板龙 ✗
[270/364] 采集: 魔术机丁 ✗
[271/364] 采集: 魔术机丙 ✗
[272/364] 采集: 魔术机乙 ✗
[273/364] 采集: 魔术机甲 ✗
[274/364] 采集: 萨普地雷 ✗
[275/364] 采集: 皮皮地雷 ✗
[276/364] 采集: 碎碎地雷 ✗
[277/364] 采集: 跳跳地雷 ✗
[278/364] 采集: 钻石怪 ✗
[279/364] 采集: 水晶怪 ✗
[280/364] 采集: 红宝石怪 ✗
[281/364] 采集: 蛋白石怪 ✗
[282/364] 采集: 暴力史莱姆 ✗
[283/364] 采集: 改造大炸弹 ✗
[284/364] 采集: 改造幻影 ✗
[285/364] 采集: 改造烟罗 ✗
[286/364] 采集: 改造暗影（怀旧） ✗
[287/364] 采集: 招财猫（怀旧） ✗
[288/364] 采集: iGame.Crossgate.Controllers.MonsterController.Detail() ✗
[289/364] 采集: 改造水蓝菇 ✗
[290/364] 采集: 改造树精 ✓
[291/364] 采集: 西比亚 ✗
[292/364] 采集: 赛修 ✗
[293/364] 采集: 亭登 ✗
[294/364] 采集: 乌杰 ✗
[295/364] 采集: 静止花妖 ✗
[296/364] 采集: 跑步花妖 ✗
[297/364] 采集: 耶诞帽怪 ✗
[298/364] 采集: 咚咚靴怪 ✗
[299/364] 采集: 潜靴怪 ✗
[300/364] 采集: 舞靴怪 ✗

进度保存: 18 成功, 282 失败
[301/364] 采集: 戴靴怪 ✗
[302/364] 采集: 布雷欧（时道） ✗
[303/364] 采集: 布雷欧 ✓
[304/364] 采集: 变种狮鹫兽（时道） ✗
[305/364] 采集: 米歇尔蝙蝠 ✗
[306/364] 采集: 陆行鲨后期型 ✗
[307/364] 采集: 欧图蝙蝠 ✗
[308/364] 采集: iGame.Crossgate.Controllers.MonsterController.Detail() ✗
[309/364] 采集: 欧比尔蝙蝠 ✗
[310/364] 采集: 尤拉蝙蝠 ✗
[311/364] 采集: 拉贾 ✗
[312/364] 采集: 拉札 ✗
[313/364] 采集: 罗亨 ✗
[314/364] 采集: 雷伊 ✗
[315/364] 采集: 小兔子 ✗
[316/364] 采集: 小鸭子 ✗
[317/364] 采集: 鸭嘴兽 ✗
[318/364] 采集: 雏鸟 ✓
[319/364] 采集: 岩石鲨 ✗
[320/364] 采集: 丘陵鲨 ✗
[321/364] 采集: 改造黄金龙骨 ✗
[322/364] 采集: 恶梦猫 ✗
[323/364] 采集: 薛定谔 ✗
[324/364] 采集: 毒龙骨 ✗
[325/364] 采集: 福尔菲斯 ✗
[326/364] 采集: 猫脸女神巴斯铁特 ✗
[327/364] 采集: 狮头女神赛克梅特 ✗
[328/364] 采集: iGame.Crossgate.Controllers.MonsterController.Detail() ✗
[329/364] 采集: 暗黑龙骨 ✗
[330/364] 采集: 组 ✗
[331/364] 采集: 群 ✓
[332/364] 采集: 军 ✗
[333/364] 采集: 连 ✗
[334/364] 采集: 普拉顿 ✗
[335/364] 采集: 卡尔铁特 ✗
[336/364] 采集: 雨行妖犬 ✓
[337/364] 采集: 奇吉姆那 ✗
[338/364] 采集: 榕树怪 ✗
[339/364] 采集: 布卡 ✗
[340/364] 采集: 红铜怪 ✗
[341/364] 采集: 铁狮 ✗
[342/364] 采集: 黄铜怪 ✗
[343/364] 采集: 银狮 ✗
[344/364] 采集: 刀鸡 ✗
[345/364] 采集: 变种欧特奇美拉 ✓
[346/364] 采集: 改造欧特奇美拉 ✓
[347/364] 采集: 艾德奇美拉（时道） ✓
[348/364] 采集: iGame.Crossgate.Controllers.MonsterController.Detail() ✓
[349/364] 采集: 改造迷你蝙蝠 ✗
[350/364] 采集: 试做型腐尸 ✗

进度保存: 26 成功, 324 失败
[351/364] 采集: 纯银铠甲 ✗
[352/364] 采集: 大地铠甲 ✓
[353/364] 采集: 改造北极熊 ✗
[354/364] 采集: 改造水蓝鼠 ✗
[355/364] 采集: 利齿的火焰鼠 ✗
[356/364] 采集: 愤怒的水蓝鼠 ✗
[357/364] 采集: 强壮的恶梦鼠 ✗
[358/364] 采集: 敏捷的大地鼠 ✗
[359/364] 采集: 虎人 ✗
[360/364] 采集: 完美黄金幼龙 ✗
[361/364] 采集: 恶梦鼠 ✓
[362/364] 采集: 改造恶梦鼠 ✗
[363/364] 采集: 钢铁制裁者 ✓
[364/364] 采集: 钢铁剑士 ✗

补采完成! 成功: 29, 失败: 335
